origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-07 19:11:56.390,32123516.39,40.7025,-124.328,-0.56,1.62,nc73815786,0.036837,8.19141146,2.01658211,9.18753843,0.24723053
2022-12-07 23:29:48.770,32138988.77,40.3855,-124.618167,28.02,0.87,1008110,0.015534,8.36655638,7.20745772,1.74391329,1.13332415
2022-12-08 01:39:12.480,32146752.48,40.862,-123.990833,24.01,1.11,1008111,0.020478,13.2327035,7.65731845,2.72522404,0.5214386
2022-12-08 02:47:13.810,32150833.81,40.609,-123.3775,20.16,0.79,1008112,0.014167,21.42550358,17.81714128,4.4731262,1.5308311
2022-12-08 09:23:10.410,32174590.41,40.325667,-124.578833,15.97,0.77,1008113,0.013845,5.11512052,7.80912932,2.21134232,0.37790096
2022-12-08 11:25:35.070,32181935.07,40.5945,-124.4375,6.77,0.88,1008114,0.015714,10.67726872,11.14239752,7.01016714,0.23182088
2022-12-09 02:52:14.620,32237534.62,40.271167,-124.624833,15.31,1.34,1008115,0.026686,4.80160845,6.95758439,4.49633974,1.98201108
2022-12-09 05:06:23.270,32245583.27,40.302667,-124.441833,13.88,2.34,nc73816421,0.084389,6.83802845,5.92774595,3.15188097,0.41541874
2022-12-09 05:11:23.500,32245883.5,39.8085,-123.5785,31.53,0.94,1008117,0.016838,17.05982087,12.62200861,2.29715966,0.56091833
2022-12-09 05:38:23.750,32247503.75,40.479167,-123.537,10.18,0.75,1008118,0.01353,20.47365547,8.99706342,5.93523596,0.32680702
2022-12-09 07:54:25.230,32255665.23,40.195333,-123.822667,31.64,0.94,1008119,0.016838,16.32615352,8.34055061,2.07443646,0.56222439
2022-12-09 09:03:54.740,32259834.74,40.759167,-124.124333,24.87,0.95,1008120,0.017033,13.4869171,5.04038184,1.76247914,0.13908553
2022-12-09 09:16:16.220,32260576.22,39.77,-123.904667,-0.41,1.59,nc73816551,0.035587,7.91723037,4.33103077,10.90899745,0.09644604
2022-12-09 09:36:57.600,32261817.6,40.249667,-123.533333,30.13,1.47,1008122,0.030995,1.51594137,0.47495895,1.63509653,0.27012658
2022-12-09 09:51:48.430,32262708.43,39.7635,-123.482167,0.96,1.45,1008123,0.030289,5.83452063,6.55651497,6.68385613,0.22427845
2022-12-09 13:08:31.680,32274511.68,40.242333,-124.674167,6.68,1.73,1008124,0.041811,6.98950717,7.01884999,6.94156219,1.36696672
2022-12-09 13:56:09.260,32277369.26,40.441833,-125.252,8.74,2.14,1008125,0.067033,3.87778701,0.95641196,9.03214577,0.65163887
2022-12-09 14:02:22.980,32277742.98,40.206167,-124.485833,1.76,0.74,1008126,0.013375,6.64167606,9.44609489,5.86485935,0.55698872
2022-12-09 15:38:53.900,32283533.9,40.239333,-124.144333,12.2,0.9,1008127,0.01608,10.50294746,6.59239199,5.04884036,0.42420006
2022-12-09 15:39:45.790,32283585.79,40.230833,-124.122667,12.24,0.45,1008128,0.009578,10.54599673,8.67917079,5.54046498,0.68997169
2022-12-09 21:25:16.900,32304316.9,40.3545,-124.5265,14.97,0.96,1008129,0.01723,7.65318011,5.74972181,3.27313548,0.0306567
