event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1015586_20180304_094436,108151,40.500081,-124.329956,19.021,-101.4,8.6,71.7,6.4,3.5,6.8,2018,3,4,9,44,36.8,0.0,757,1000,32,32,0.007,0.009,2,2018-03-04T09:44:36.800Z
1015586_20180309_130435,108153,40.499129,-124.328394,18.895,31.0,-97.1,-54.6,5.8,3.2,4.8,2018,3,9,13,4,35.65,0.0,386,1525,15,43,0.007,0.009,2,2018-03-09T13:04:35.650Z
1015586_20180311_003229,108155,40.499316,-124.328687,19.023,6.2,-76.4,73.3,4.5,4.2,5.6,2018,3,11,0,32,29.47,0.0,823,1406,236,333,0.008,0.008,2,2018-03-11T00:32:29.470Z
1015586_20180313_152506,108156,40.499247,-124.328044,18.88,60.7,-84.0,-68.8,7.9,4.0,3.4,2018,3,13,15,25,6.93,0.0,819,1501,235,352,0.007,0.011,2,2018-03-13T15:25:06.930Z
1015586_20180313_210226,108157,40.499162,-124.328597,18.822,13.8,-93.5,-127.3,3.2,2.4,3.0,2018,3,13,21,2,26.04,0.0,821,1939,21,42,0.008,0.011,2,2018-03-13T21:02:26.040Z
1015586_20180313_204620,108158,40.499365,-124.32867,18.773,7.6,-70.9,-176.1,8.9,4.9,6.9,2018,3,13,20,46,20.72,0.0,812,1012,26,27,0.007,0.012,2,2018-03-13T20:46:20.720Z
1015586_20180314_014901,108159,40.499483,-124.328955,18.858,-16.6,-57.8,-90.8,4.5,2.6,4.0,2018,3,14,1,49,1.86,0.0,385,1520,15,45,0.007,0.008,2,2018-03-14T01:49:01.860Z
1015586_20180315_112600,108161,40.499268,-124.328467,18.903,24.8,-81.8,-46.7,4.0,3.1,3.4,2018,3,15,11,26,0.68,0.0,1060,1936,34,49,0.007,0.011,2,2018-03-15T11:26:00.680Z
1015586_20180318_234542,108162,40.499577,-124.328638,18.952,10.3,-47.4,2.3,3.9,2.7,3.1,2018,3,18,23,45,42.12,0.0,820,1943,171,413,0.008,0.008,2,2018-03-18T23:45:42.120Z
1015586_20180320_055940,108163,40.499239,-124.328483,18.954,23.5,-84.9,4.6,2.8,2.8,4.2,2018,3,20,5,59,40.26,0.0,175,1866,10,12,0.008,0.009,2,2018-03-20T05:59:40.260Z
1015586_20180321_174027,108164,40.499854,-124.329883,19.037,-95.2,-16.7,87.6,3.5,2.4,2.7,2018,3,21,17,40,27.6,0.0,803,1941,59,136,0.008,0.01,2,2018-03-21T17:40:27.600Z
1015586_20180323_190309,108165,40.500138,-124.330884,18.978,-180.0,14.9,28.5,9.7,3.0,6.5,2018,3,23,19,3,9.16,0.0,776,1012,28,28,0.008,0.01,2,2018-03-23T19:03:09.160Z
1015586_20180327_223712,108167,40.500248,-124.330184,18.955,-120.7,27.1,6.2,6.0,3.2,3.4,2018,3,27,22,37,12.88,0.0,817,1529,25,42,0.007,0.01,2,2018-03-27T22:37:12.880Z
1015586_20180328_042622,108169,40.503451,-124.332495,18.614,-316.6,382.7,-335.1,13.1,13.3,14.2,2018,3,28,4,26,22.35,0.0,654,570,34,0,0.008,0.011,2,2018-03-28T04:26:22.350Z
1015586_20180330_040710,108170,40.499516,-124.328573,18.94,15.9,-54.2,-9.7,4.1,3.0,3.2,2018,3,30,4,7,10.27,0.0,1060,1922,32,49,0.007,0.009,2,2018-03-30T04:07:10.270Z
1015586_20180403_061550,108171,40.499605,-124.329093,18.971,-28.3,-44.3,21.7,3.3,2.3,3.3,2018,4,3,6,15,50.63,0.0,1233,1941,101,152,0.008,0.009,2,2018-04-03T06:15:50.630Z
1015586_20180403_072025,108172,40.500045,-124.329932,18.958,-99.3,4.5,8.7,3.8,2.8,3.2,2018,4,3,7,20,25.69,0.0,1055,1948,30,70,0.007,0.007,2,2018-04-03T07:20:25.690Z
1015586_20180404_064017,108173,40.499211,-124.328711,18.927,4.1,-88.1,-22.5,4.8,3.0,5.4,2018,4,4,6,40,17.16,0.0,378,1534,20,60,0.007,0.009,2,2018-04-04T06:40:17.160Z
1015586_20180404_094755,108174,40.500688,-124.329793,19.063,-87.6,75.9,114.0,5.2,3.0,3.8,2018,4,4,9,47,55.03,0.0,996,1531,37,43,0.007,0.011,2,2018-04-04T09:47:55.030Z
1015586_20180405_133145,108175,40.499752,-124.32889,18.972,-11.0,-28.0,23.0,6.3,3.3,3.6,2018,4,5,13,31,45.51,0.0,822,1535,26,45,0.007,0.008,2,2018-04-05T13:31:45.510Z
1015586_20180407_054411,108177,40.500549,-124.33016,19.068,-118.7,60.5,118.8,5.2,2.7,5.0,2018,4,7,5,44,11.25,0.0,386,1489,16,48,0.007,0.009,2,2018-04-07T05:44:11.250Z
1015586_20180409_053031,108178,40.500085,-124.329557,18.925,-67.6,9.0,-24.0,3.2,2.0,2.6,2018,4,9,5,30,31.6,0.0,1237,1954,33,53,0.009,0.006,2,2018-04-09T05:30:31.600Z
1015586_20180409_024926,108179,40.49952,-124.328695,18.911,5.5,-53.8,-37.9,3.8,3.3,4.0,2018,4,9,2,49,26.03,0.0,1060,1943,249,438,0.008,0.009,2,2018-04-09T02:49:26.030Z
1015586_20180410_075125,108181,40.498006,-124.327905,19.227,72.4,-221.9,277.5,6.2,4.2,3.7,2018,4,10,7,51,25.27,0.0,1053,1512,38,46,0.012,0.014,2,2018-04-10T07:51:25.270Z
1015586_20180410_104647,108182,40.499231,-124.328402,18.76,30.4,-85.8,-189.7,7.1,5.0,5.1,2018,4,10,10,46,47.97,0.0,623,1428,25,46,0.008,0.01,2,2018-04-10T10:46:47.970Z
1015586_20180413_215801,108184,40.503117,-124.330786,18.646,-171.8,345.7,-302.9,7.1,6.7,6.7,2018,4,13,21,58,1.64,0.0,1015,278,48,15,0.008,0.014,2,2018-04-13T21:58:01.640Z
