original_id,synthetic_id
1016790_20140603_033300,100507
1016790_20140609_104330,100508
1016790_20140612_170959,100509
1016790_20140614_120619,100510
1016790_20140615_041030,100511
1016790_20140618_150401,100512
1016790_20140619_144951,100513
1016790_20140623_095342,100514
1016790_20140624_182102,100515
1016790_20140626_022934,100516
1016790_20140629_150622,100517
1016790_20140630_131913,100518
1016790_20140701_215346,100519
1016790_20140701_191016,100520
1016790_20140702_032357,100521
1016790_20140702_152217,100522
1016790_20140702_091626,100523
1016790_20140705_010213,100524
1016790_20140706_192041,100525
1016790_20140708_020005,100526
1016790_20140708_103632,100527
1016790_20140710_100718,100528
1016790_20140710_044903,100529
1016790_20140711_112815,100530
1016790_20140722_100358,100531
1016790_20140723_042304,100532
1016790_20140724_214959,100533
1016790_20140726_224257,100534
1016790_20140726_233342,100535
1016790_20140727_000024,100536
1016790_20140729_070450,100537
1016790_20140729_091015,100538
1016790_20140729_092923,100539
1016790_20140730_054333,100540
1016790_20140730_080307,100541
1016790_20140731_095904,100542
1016790_20140801_002413,100543
1016790_20140803_155450,100544
1016790_20140803_134457,100545
1016790_20140806_095734,100546
1016790_20140812_110902,100547
1016790_20140812_053532,100548
1016790_20140816_152914,100549
1016790_20140816_230623,100550
1016790_20140818_101323,100551
1016790_20140828_024350,100552
1016790_20140831_042623,100553
1016790_20140906_183233,100554
1016790_20140909_092646,100555
1016790_20140910_085336,100556
1016790_20140911_051121,100557
1016790_20140912_100340,100558
1016790_20140912_021958,100559
1016790_20140913_205032,100560
1016790_20140913_222540,100561
1016790_20140914_143048,100562
1016790_20140914_201012,100563
1016790_20140914_175325,100564
1016790_20140915_014003,100565
1016790_20140916_162652,100566
1016790_20140917_183245,100567
1016790_20140917_142959,100568
1016790_20140918_085830,100569
1016790_20140919_235540,100570
1016790_20140920_103239,100571
1016790_20140920_031623,100572
1016790_20140923_035412,100573
1016790_20140924_150544,100574
1016790_20140924_021434,100575
1016790_20140926_230434,100576
1016790_20140927_120542,100577
1016790_20140927_092148,100578
1016790_20140927_030754,100579
1016790_20140928_081017,100580
1016790_20140928_134238,100581
1016790_20141002_220837,100582
1016790_20141005_192734,100583
1016790_20141007_014801,100584
1016790_20141010_182251,100585
1016790_20141010_013844,100586
1016790_20141012_093410,100587
1016790_20141015_040049,100588
1016790_20141015_034356,100589
1016790_20141015_193926,100590
1016790_20141015_185132,100591
1016790_20141016_031536,100592
