event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1013209,110694,40.513993,-124.441268,19.532,-17712.2,-4024.1,-1895.2,1.0,0.9,1.2,2022,12,29,5,31,8.48,1.04,0,0,91,74,-9.0,0.032,1,2022-12-29T05:31:08.480Z
1012142,110695,40.550395,-124.224479,17.726,655.5,18.1,-3701.2,0.7,0.5,0.4,2022,12,24,5,9,2.32,1.55,1,7,68,55,0.005,0.042,1,2022-12-24T05:09:02.320Z
1012015,110697,40.572754,-124.223706,17.443,720.9,2501.0,-3984.5,3.1,1.4,1.3,2022,12,23,20,30,28.52,1.23,0,0,62,45,-9.0,0.053,1,2022-12-23T20:30:28.520Z
1014904,110698,40.54165,-124.238102,18.23,-498.4,-952.9,-3197.7,0.7,0.5,0.8,2023,1,26,5,47,35.81,1.04,0,0,39,38,-9.0,0.043,1,2023-01-26T05:47:35.810Z
1011209,110699,40.514315,-124.415015,17.746,-15487.8,-3988.4,-3681.1,1.4,2.1,3.5,2022,12,22,9,7,10.6,0.52,0,0,46,38,-9.0,0.045,1,2022-12-22T09:07:10.600Z
1012503,110700,40.575,-124.215031,18.007,1455.6,2750.4,-3420.8,5.8,1.9,3.6,2022,12,25,3,58,23.2,0.9,0,0,55,32,-9.0,0.043,1,2022-12-25T03:58:23.200Z
nc73822076,110702,40.629492,-123.959513,22.201,23085.8,8801.5,773.4,0.7,0.5,0.6,2022,12,20,23,26,24.24,1.53,0,0,35,36,-9.0,0.044,1,2022-12-20T23:26:24.240Z
1011435,110703,40.530359,-124.348397,17.4,-9842.3,-2206.8,-4027.5,3.7,1.0,3.5,2022,12,22,14,28,54.91,1.12,0,0,27,19,-9.0,0.044,1,2022-12-22T14:28:54.910Z
1016296,110705,40.513517,-123.875594,21.622,30215.9,-4077.0,195.2,0.6,0.5,0.7,2023,3,1,0,37,17.04,1.45,17,13,37,48,0.006,0.069,1,2023-03-01T00:37:17.040Z
nc73822101,110706,40.559619,-123.992529,23.937,20301.3,1042.4,2510.1,0.5,0.4,0.3,2022,12,20,23,41,1.86,1.68,0,0,51,46,-9.0,0.053,1,2022-12-20T23:41:01.860Z
nc73822751,110707,40.546798,-123.845898,22.32,32723.9,-381.4,893.1,0.3,0.4,0.1,2022,12,21,22,14,18.38,1.56,3,0,9,3,0.0,0.083,1,2022-12-21T22:14:18.380Z
1016411,110708,40.578882,-124.213322,18.229,1600.3,3181.4,-3198.0,2.4,0.8,1.8,2023,3,5,0,34,58.81,1.58,0,0,92,57,-9.0,0.051,1,2023-03-05T00:34:58.810Z
1014324,110710,40.605632,-124.149032,18.295,7043.4,6151.9,-3132.4,1.5,0.6,0.9,2023,1,14,1,10,27.28,1.46,3,0,37,26,0.001,0.076,1,2023-01-14T01:10:27.280Z
1009270,110711,40.616402,-124.069596,20.196,13768.1,7347.9,-1231.3,0.6,0.8,1.0,2022,12,20,21,2,39.64,1.14,1,4,42,36,0.005,0.068,1,2022-12-20T21:02:39.640Z
1014215,110712,40.55754,-123.953092,21.989,23642.0,811.5,561.6,0.4,0.3,0.3,2023,1,10,19,11,36.06,1.34,2,1,29,23,0.0,0.058,1,2023-01-10T19:11:36.060Z
