event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1016701_20200103_020956,100019,40.497119,-124.210701,22.4,0.7,1.8,0.5,19.2,4.4,6.4,2020,1,3,2,9,56.02,0.0,0,24,0,0,0.01,-9.0,24,2020-01-03T02:09:56.020Z
1016701_20200307_214821,100020,40.497123,-124.210547,22.396,13.8,2.3,-4.2,5.3,6.1,9.1,2020,3,7,21,48,21.66,0.0,0,23,0,0,0.009,-9.0,24,2020-03-07T21:48:21.660Z
1016701_20200314_211105,100021,40.497062,-124.21228,22.451,-133.1,-4.5,50.5,29.6,8.7,12.3,2020,3,14,21,11,5.28,0.0,0,19,0,0,0.014,-9.0,24,2020-03-14T21:11:05.280Z
1016701_20200407_033554,100022,40.496965,-124.209676,22.338,87.6,-15.4,-62.2,13.5,9.4,10.6,2020,4,7,3,35,54.61,0.0,0,18,0,0,0.011,-9.0,24,2020-04-07T03:35:54.610Z
1016701_20200915_230533,100023,40.497213,-124.210881,22.423,-14.5,12.2,22.7,7.0,5.3,8.0,2020,9,15,23,5,33.14,0.0,0,26,0,0,0.013,-9.0,24,2020-09-15T23:05:33.140Z
1016701_20201004_234622,100024,40.497083,-124.210913,22.405,-17.2,-2.3,4.9,15.5,7.4,11.6,2020,10,4,23,46,22.94,0.0,0,26,0,0,0.012,-9.0,24,2020-10-04T23:46:22.940Z
1016701_20201116_184724,100025,40.497095,-124.210596,22.394,9.7,-0.9,-6.3,8.7,4.0,7.3,2020,11,16,18,47,24.72,0.0,0,26,0,0,0.009,-9.0,24,2020-11-16T18:47:24.720Z
1016701_20201120_183154,100026,40.497058,-124.211051,22.404,-29.0,-5.0,3.7,11.0,4.9,5.3,2020,11,20,18,31,54.04,0.0,0,25,0,0,0.012,-9.0,24,2020-11-20T18:31:54.040Z
1016701,100735,40.497152,-124.209334,22.384,116.6,5.4,-16.2,9.1,4.1,9.0,2023,3,16,13,57,14.25,1.04,0,23,0,0,0.009,-9.0,24,2023-03-16T13:57:14.250Z
nc73816421_20200316_030042,100635,40.302511,-124.441732,13.863,4.8,-21.2,-16.7,5.5,14.8,7.4,2020,3,16,3,0,42.64,0.0,6,16,0,0,0.009,-9.0,25,2020-03-16T03:00:42.640Z
nc73816421_20200729_154620,100636,40.302523,-124.44174,13.882,4.2,-19.9,1.8,5.2,13.6,7.8,2020,7,29,15,46,20.3,0.0,0,24,0,0,0.012,-9.0,25,2020-07-29T15:46:20.300Z
nc73816421_20200816_184627,100637,40.302885,-124.441764,13.881,2.1,20.3,1.1,4.3,9.5,7.6,2020,8,16,18,46,27.88,0.0,8,28,0,0,0.013,-9.0,25,2020-08-16T18:46:27.880Z
nc73816421_20200904_024239,100638,40.302478,-124.441838,13.876,-4.2,-24.9,-4.2,5.6,13.0,8.7,2020,9,4,2,42,39.16,0.0,8,29,0,0,0.01,-9.0,25,2020-09-04T02:42:39.160Z
nc73816421_20200915_104837,100639,40.30282,-124.441838,13.922,-4.2,13.1,42.3,6.9,10.8,8.7,2020,9,15,10,48,37.96,0.0,5,22,0,0,0.012,-9.0,25,2020-09-15T10:48:37.960Z
nc73816421_20200916_072208,100640,40.302702,-124.441829,13.874,-3.5,0.0,-5.7,8.5,15.4,12.0,2020,9,16,7,22,8.18,0.0,4,21,0,0,0.012,-9.0,25,2020-09-16T07:22:08.180Z
nc73816421_20201209_043315,100641,40.302698,-124.44187,13.863,-6.9,-0.5,-16.7,5.3,15.9,13.8,2020,12,9,4,33,15.14,0.0,5,19,0,0,0.01,-9.0,25,2020-12-09T04:33:15.140Z
nc73816421,100893,40.302885,-124.441805,13.884,-1.4,20.3,4.1,5.8,13.0,7.7,2022,12,9,5,6,23.27,2.34,8,29,0,0,0.011,-9.0,25,2022-12-09T05:06:23.270Z
1015736_20200229_121759,100359,40.35671,-124.452718,27.959,7.6,34.3,-0.8,12.7,21.7,12.5,2020,2,29,12,17,59.18,0.0,9,10,0,0,0.022,-9.0,26,2020-02-29T12:17:59.180Z
