ev1,ev2,station,phase,dt_sec,weight
101361,126389,NCCMM,P,0.0014770000000000009,0.767
101361,126389,NCJRR,P,0.020669,0.734
101361,126389,NCHGS,P,0.023212000000000003,0.824
101361,126389,NCJEC,P,0.016015,0.83
101361,126389,NCHGW,P,0.024894,0.908
101361,126389,NCCDV,P,-0.012192999999999999,0.954
101361,126389,NCCMJ,P,-0.017007,0.797
101361,126389,NCCMR,P,-0.024758000000000002,0.857
101361,126389,NCJTG,P,0.012011,0.726
101361,126389,NCHPR,P,0.016881,0.846
101361,126389,NCCVA,P,-0.013882,0.871
101361,126389,NCCMN,P,-0.013604,0.923
101361,126389,NCHCB,P,0.018602,0.793
101361,126389,NCJSC,P,-0.013989999999999999,0.811
101361,126389,NCHFE,P,0.021865000000000002,0.872
101361,126389,NCCST,P,-0.004339,0.851
101361,126389,NCHPL,P,0.023494,0.913
101361,126389,NCJBM,P,-0.0079,0.84
101361,126389,NCHOR,P,0.027095,0.722
101361,126389,NCHAZ,P,0.019501,0.764
101361,126389,NCJSFa,P,-0.009044,0.717
101361,126389,NCJBLb,P,-0.0008489999999999991,0.72
101361,126389,NCJPPa,P,-0.003818,0.795
101361,126389,NCHDLb,P,0.019379,0.911
101361,126389,NCCMO,P,-0.008221,0.876
101361,126389,NCHFP,P,0.022164999999999997,0.707
101361,126389,NCBVY,P,0.025820999999999997,0.827
101361,126389,NCHQR,P,0.022858000000000003,0.706
101361,126389,NCCAO,S,0.008938000000000001,0.72
101361,126389,NCCADa,S,0.03742,0.74
101361,126389,NCJST,S,9.49999999999996e-05,0.77
101361,126389,NCJCB,S,0.027311000000000002,0.77
101361,126389,NCCML,S,-0.02238,0.88
101361,126389,NCCAL,S,-0.03032,0.8
101361,126389,NCJAL,S,0.008773,0.84
101361,126389,NCCMM,S,0.00019800000000000026,0.86
101361,126389,NCJSS,S,0.0027410000000000004,0.9
101361,126389,NCHGS,S,0.034802,0.81
101361,126389,NCJEC,S,0.016043,0.81
101361,126389,NCHGW,S,0.031149000000000003,0.71
101361,126389,NCCDV,S,-0.022923,0.91
101361,126389,NCCMP,S,0.021726000000000002,0.97
101361,126389,NCCMR,S,-0.032368,0.82
101361,126389,NCJBC,S,0.010362,0.82
101361,126389,NCCOS,S,0.002620000000000001,0.84
101361,126389,NCHPR,S,0.027028000000000003,0.82
101361,126389,NCCVA,S,-0.023562,0.94
101361,126389,NCCMN,S,-0.017029,0.88
101361,126389,NCHCB,S,0.034096,0.83
101361,126389,NCCST,S,0.0017580000000000009,0.72
101361,126389,NCJSM,S,0.00503,0.72
101361,126389,NCHFH,S,0.048496,0.75
101361,148939,NCCSC,P,0.023979,0.784
101361,148939,NCCMH,P,0.008173,0.724
101361,148939,NCCADa,P,0.059248,0.868
101361,148939,NCJST,P,0.032588000000000006,0.703
101361,148939,NCJCB,P,0.033431,0.798
101361,148939,NCCML,P,0.026288000000000002,0.949
101361,148939,NCCAL,P,0.013819999999999999,0.728
101361,148939,NCJRR,P,0.039304000000000006,0.898
101361,148939,NCHGS,P,0.046666,0.863
101361,148939,NCJEC,P,0.030915,0.808
101361,148939,NCHGW,P,0.06389800000000001,0.929
101361,148939,NCCDV,P,0.017286000000000003,0.959
101361,148939,NCCMJ,P,0.012455,0.854
101361,148939,NCCMP,P,0.038933,0.859
101361,148939,NCJBZ,P,0.037339000000000004,0.897
101361,148939,NCCMR,P,0.010014000000000002,0.963
101361,148939,NCJTG,P,0.039183,0.789
101361,148939,NCHPR,P,0.03896,0.913
101361,148939,NCCMN,P,0.007709000000000001,0.93
101361,148939,NCJSC,P,0.030738,0.848
101361,148939,NCHFE,P,0.051133000000000005,0.858
101361,148939,NCCST,P,0.031226,0.907
101361,148939,NCHPL,P,0.043390000000000005,0.899
101361,148939,NCJBM,P,0.015565000000000002,0.815
101361,148939,NCJSM,P,0.018256,0.702
101361,148939,NCHAZ,P,0.042086,0.786
101361,148939,NCJSFa,P,0.010093000000000005,0.86
101361,148939,NCCCY,P,0.026847000000000003,0.803
101361,148939,NCHFH,P,0.057743,0.749
101361,148939,NCJPPa,P,0.013213000000000003,0.786
101361,148939,NCHDLb,P,0.038728,0.895
101361,148939,NCJBG,P,0.012931999999999999,0.802
101361,148939,NCHFP,P,0.048029,0.825
